id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
125,6,0,4,3,0,1,0,0,0,0,255,255,255,56,4718.374,하루（Haru）,R,0,139,1.077,-0.167,0,40.946,-61.1,0,0,0,0,5,R,아침땅_,174.7,38,0,0,0,0,0,0,0,0,0,0,0,0.024,-37.318,0.069,-17.25,-21.433,-45.633,-16.376,-62.084,19.113,-46.77,14.435,-63.876,44.515,-98.995,-5.828,-108.133,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
126,6,0,4,3,0,2,0,0,0,0,255,255,255,57,4736.944,하루（Haru）,R,10,95,0.963,-0.722,0,0,400,0,0,0,0,5,R,아침땅_,174.7,38,0,0,0,0,0,0,0,0,0,0,0,-0.596,-36.816,-0.16,-17.13,-22.101,-46.376,-16.33,-61.969,19.114,-46.783,14.391,-63.853,44.383,-99.462,-5.811,-108.14,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
127,6,0,4,3,0,0,1,0,0,0,255,255,255,58,4760.271,하루（Haru）,R,0,140,-0.473,1.513,4,18.474,-40.687,0,0,1,1,0,R,D_arling,169.5,37,0,0,0,0,0,0,0,0,0,0,0,-0.075,-36.956,0.073,-16.96,-21.043,-44.759,-16.404,-61.95,19.128,-46.795,14.446,-64.107,42.747,-98.186,-5.827,-108.159,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
128,6,0,4,3,0,1,1,0,0,0,255,255,255,59,4777.378,하루（Haru）,R,0,76,0.194,2.502,2,-8.082,8.771,0,0,1,1,0,R,D_arling,169.5,37,4778.688,135,132,52,139,91,35.18,11.525,-0.622,0.01,0.074,-0.392,-36.632,-0.121,-17.056,-21.505,-46.326,-16.087,-62.061,19.041,-46.883,14.45,-64.092,42.875,-98.039,-5.83,-108.11,-35.7,-81.8,4783.452,-22.394,-88.981,4788.129,2,NABIMan,-18.161,-41.688,0,0,0,0,0,0,0,1
129,6,0,4,3,0,0,2,0,0,0,255,255,255,60,4814.419,하루（Haru）,R,0,136,2.418,0.959,2,62.599,-64.633,0,0,1,2,2,R,Yaksok~,172.8,67,4815.334,120,92,9,127,80,37.534,-36.447,-0.776,-0.057,-0.056,-0.451,-36.857,0.085,-17.304,-22.27,-46.159,-15.513,-61.324,18.633,-46.513,14.013,-64.728,35.691,-98.436,-8.25,-100.66,-35.7,-81.8,4819.952,37.675,-74.32,4821.074,6,즉석카레,41.825,-80.406,1,0,0,0,0,0,0,2
130,6,0,4,3,0,0,2,1,0,0,11,255,255,61,4849.088,하루（Haru）,R,0,140,-0.739,0.023,0,77.337,-87.323,0,0,1,3,3,R,DoYaGee,175.4,67,0,0,0,0,0,0,0,0,0,0,0,-0.176,-37.687,0.231,-17.432,-19.644,-41.859,-13.73,-61.306,19.246,-47.437,7.382,-63.4,37.328,-93.133,-5.286,-95.402,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
131,6,0,4,3,0,1,2,1,0,0,11,255,255,62,4890.023,하루（Haru）,R,10,108,0.848,-1.554,1,0,400,0,0,0,3,3,R,DoYaGee,175.4,67,0,0,0,0,0,0,0,0,0,0,0,-0.162,-36.994,0.096,-17.361,-19.248,-40.238,-12.393,-62.867,19.246,-46.645,4.625,-61.751,38.543,-92.722,-3.691,-96.262,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
132,6,0,4,3,1,1,2,0,1,0,255,11,255,63,4912.767,하루（Haru）,R,0,111,1.813,1.053,1,84.088,-57.767,0,0,0,3,3,R,DoYaGee,175.4,67,0,0,0,0,0,0,0,0,0,0,0,-0.304,-37.255,0.039,-17.375,-20.007,-42.861,-14.576,-62.194,19.505,-46.057,4.927,-61.845,38.527,-91.743,-5.622,-95.459,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
133,6,0,4,3,2,1,2,0,1,0,255,11,255,64,4931.301,하루（Haru）,R,0,140,0.775,0.801,0,73.322,-120.636,0,0,1,3,3,R,DoYaGee,175.4,44,0,0,0,0,0,0,0,0,0,0,0,-0.672,-37.139,0.027,-17.241,-19.837,-43.284,-14.579,-62.187,19.534,-46.845,4.718,-63.076,38.322,-91.865,-5.829,-97.595,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
134,6,0,4,3,2,2,2,0,1,0,255,11,255,65,4948.545,하루（Haru）,R,0,139,0.022,0.105,2,62.733,-97.755,0.386,-6.109,1,3,3,R,DoYaGee,175.4,44,5005.387,99,122,14,130,117,21.067,-4.488,0.208,-0.07,-0.134,0.013,-37.491,0.512,-15.985,-21.589,-45.437,-14.721,-62.128,20.135,-45.453,5.022,-62.547,38.291,-91.829,-5.832,-97.612,-35.7,-81.8,4998.574,6.81,-32.012,0,0,,0,0,0,8,0,0,0,0,0,0
