id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
103,5,0,1,1,0,0,0,1,1,1,15,255,9,44,3008.78,눈꽃,R,10,113,0.134,-0.228,0,44.482,400,0.212,-17.598,0,2,5,R,장덕춘_,170,94.891,0.548,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,-37.499,0.061,-17.033,-21.129,-48.21,-13.211,-61.906,19.425,-46.704,14.096,-63.772,51.66,-86.582,0.208,-96.166,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
104,5,0,1,1,0,1,0,1,1,1,15,255,9,45,3026.505,눈꽃,R,10,112,-0.469,-0.168,2,29.085,400,0,0,1,2,5,R,장덕춘_,170,94.891,0.548,58,3027.51,152,115,67,142,84,7.447,29.168,-0.2,-0.063,-0.056,0.146,0,0,0,0.098,-37.022,0.052,-17.115,-21.171,-48.67,-13.148,-61.891,19.68,-48.211,14.987,-63.417,52.123,-86.932,-0.292,-96.641,-35.7,-81.8,3031.725,-24.427,-77.924,3036.475,1,encounter v,0.052,-21.706,1,0,0,0,0,0,0,0
105,5,0,1,2,0,0,0,1,1,1,14,255,15,46,3055.093,눈꽃,R,10,118,0.16,0.225,2,-4.222,362.01,0,0,1,3,3,L,˗ˋˏ 카피 ˎˊ˗,168,88.405,0.615,57,3056.165,129,87,56,136,80,43.125,-29.54,-0.18,0.09,-0.081,0.187,0,0,0,-0.05,-37.117,-0.006,-17.145,-18.729,-41.111,-9.463,-62.845,21.315,-47.589,15.345,-63.196,49.318,-85.381,1.227,-96.291,-35.7,-81.8,0,0,0,3061.258,5,소솨소솨,26.327,-69.611,0,0,0,0,0,0,0,1
106,5,0,1,2,0,0,1,1,1,1,14,255,15,47,3090.384,눈꽃,R,0,140,1.585,0.934,1,69.194,-200,0,0,0,4,1,R,Pugeuk,160,97.373,0.596,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,-37.18,-0.007,-17.156,-19.46,-47.048,-14.331,-62.374,20.293,-45.943,14.127,-63.542,51.768,-89.058,1.078,-100.859,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
107,5,0,1,2,1,0,1,1,1,1,14,255,15,48,3102.927,눈꽃,R,10,118,-0.85,-0.206,0,0,400,0,0,1,4,1,R,Pugeuk,160,97.373,0.596,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,-37.271,-0.024,-17.173,-19.706,-46.726,-14.328,-62.335,18.786,-46.631,14.178,-63.59,47.444,-83.212,0.358,-98.182,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
108,5,0,1,2,1,1,1,1,1,1,14,255,15,49,3115.324,눈꽃,R,14,116,2.928,-1.39,2,368.017,338.472,0,0,1,4,1,R,Pugeuk,160,97.373,0.596,73,3116.507,177,135,25,145,80,0.058,-37.69,-0.54,-0.018,-0.086,0.443,0,0,0,0.053,-37.102,0.035,-17.029,-19.948,-47.246,-14.206,-62.22,18.715,-49.134,12.897,-64.944,48.005,-83.72,1.039,-97.03,-35.708,-81.807,3116.858,4.212,-25.64,3118.425,4,_이누_,18.474,-44.38,1,1,0,0,0,0,0,2
109,5,0,1,2,0,0,2,1,1,1,14,255,11,50,3147.109,눈꽃,R,14,116,2.492,-0.837,1,361.546,345.376,0,0,0,5,8,R,아침땅_,174.8,95,0.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04,-37.334,-0.208,-17.284,-17.172,-44.394,-13.868,-61.251,19.971,-46.571,13.816,-63.847,46.48,-81.316,0.35,-100.968,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
110,5,0,1,2,1,0,2,1,1,1,14,255,11,51,3159.538,눈꽃,R,14,112,1.359,0.089,2,331.928,373.931,0,0,1,5,8,R,아침땅_,174.8,95,0.5,57,3160.501,134,133,66,140,114,-30,-7.784,0.5,-0.078,-0.045,0.348,0,0,0,-0.134,-36.969,-0.005,-17.093,-19.031,-45.968,-13.129,-61.63,18.313,-48.759,13.913,-63.753,47.228,-81.881,0.466,-93.671,-35.7,-81.8,3160.641,0.467,-21.798,3162.941,5,소솨소솨,7.653,-58.646,1,0,0,0,0,0,0,2
111,6,1,1,2,0,0,0,0,0,0,255,255,255,58,3311.331,Pugeuk,R,0,126,1.636,-0.605,2,115.374,-109.316,0,0,1,3,1,L,encounter v,190,100.135,0.454,57,3312.451,129,112,35,137,68,28.932,-25.101,0.98,0.114,-0.28,0.288,0,0,0,-0.056,-37.404,0.113,-17.014,-20.055,-46.619,-15.639,-63.677,23.251,-50.942,13.958,-64.364,35.495,-82.896,0,-100.6,-39.852,-91.013,0,0,0,3315.891,4,bdg06213,18.973,-56.497,0,0,0,0,0,0,0,1
112,6,1,1,2,0,0,1,0,0,0,255,255,255,59,3341.404,Pugeuk,R,3,90,0.396,0.369,0,-252.423,0,0,0,0,4,4,R,_이누_,190,90,0.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,-37.639,-0.166,-16.881,-20.916,-46.657,-17.394,-62.677,22.431,-49.82,13.409,-63.709,38.435,-85.294,0,-100.6,-39.83,-82.036,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
113,6,1,1,2,0,1,1,0,0,0,255,255,255,60,3359.03,Pugeuk,R,14,108,2.332,-1.356,2,371.611,326.716,0,0,1,4,4,R,_이누_,190,90,0.5,57,3360.019,180,144,22,146,44,-67.014,-61.476,-0.43,-0.063,-0.159,0.338,0,0,0,-0.002,-37.589,-0.009,-16.976,-20.935,-46.675,-17.362,-62.654,24.461,-50.075,13.476,-63.701,38.608,-85.248,0,-100.6,-39.875,-81.994,3360.125,0.767,-20.351,3364.408,4,bdg06213,16.073,-38.178,1,0,0,0,0,0,0,2
114,6,1,1,2,0,0,1,1,0,0,4,255,255,61,3388.77,Pugeuk,R,0,123,1.316,0.659,2,172.067,-76.477,0,0,1,5,7,R,ke ro,160,94.675,0.411,57,3389.646,137,66,0,118,65,21.512,-5.251,-0.5,-0.05,-0.128,0,0,0,0,-0.031,-37.316,0.019,-16.895,-18.757,-44.162,-17.88,-62.34,23.036,-47.866,14.447,-63.799,35.9,-83.388,0,-100.6,-39.737,-81.721,3392.891,4.618,-61.639,3395.842,6,schmoneymikey,0.567,-60.847,1,0,0,0,0,0,0,2
115,6,1,1,2,0,0,2,1,0,0,4,255,255,62,3425.452,Pugeuk,R,3,87,-0.419,0.743,2,-266.278,-0.038,0,0,1,6,5,R,소솨소솨,160,89.643,0.4,57,3426.496,162,103,51,142,81,-30.635,43.391,-0.03,-0.029,-0.128,0.373,0,0,0,-0.257,-37.41,-0.107,-17.208,-19.936,-43.552,-9.097,-63.12,24.163,-48.092,14.419,-63.9,35.518,-86.774,0,-100.6,-37.051,-78.792,3426.758,-1.661,-22.612,3428.375,2,신과함께1,-17.244,-39.334,0,0,0,0,0,0,0,2
116,6,0,1,2,0,0,0,0,0,0,255,255,255,52,3533.906,하루（Haru）,R,0,129,0.893,0.988,1,40.625,-96.882,0,0,0,6,4,R,bdg06213,190,86,0.604,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-37.079,0.016,-16.945,-20.254,-47.21,-14.293,-61.988,20.568,-47.978,13.241,-65.194,47.146,-82.106,-2.533,-96.583,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
117,6,0,1,2,1,0,0,0,0,0,255,255,255,53,3554.302,하루（Haru）,R,10,89,1.297,-0.687,2,0,400,0,0,1,6,4,R,bdg06213,190,86,0.604,57,3555.558,126,113,56,138,124,92.791,79.763,0.74,0.011,-0.105,0.143,0,0,0,-0.229,-36.61,0.112,-17.155,-20.212,-47.151,-14.273,-61.908,19.608,-49.517,13.906,-64.64,46.685,-79.517,-2.163,-96.663,-35.7,-81.8,3563.891,43.686,-13.278,0,0,,0,0,0,0,0,0,0,0,0,0
