id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
21,1,0,3,0,0,1,0,1,0,0,16,255,255,3,1692.623,-라후이-,R,13,110,-2.492,-0.417,2,-390.434,312.348,0,0,0,1,2,L,_Chun,190,87,1693.597,173,162,3,141,100,35.948,9.645,-0.138,0.176,-0.095,-0.227,-36.658,-0.014,-17.274,-20.856,-42.856,-9.867,-61.027,20.876,-47.121,12.486,-65.353,38.151,-79.787,0.003,-111.15,-43.931,-89.627,1697.509,-15.698,-98.582,1705.387,7,HalF_HearteD,-21.949,-130.525,1,0,0,0,0,0,0,2
22,1,0,3,1,0,0,0,0,0,1,255,255,11,3,1816.976,-라후이-,R,8,132,-0.336,1.022,0,101.127,49.741,0,0,0,2,8,R,Dοpi,179.9,87,0,0,0,0,0,0,0,0,0,0,0,0.157,-36.968,0.243,-17.268,-20.514,-44.866,-13.648,-62.127,18.879,-40.979,13.586,-64.349,34.165,-84.741,-2.396,-117.355,-45.46,-92.323,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,1,0,3,1,0,1,0,0,0,1,255,255,11,4,1831.988,-라후이-,R,0,140,2.354,0.001,4,-111.891,-97.656,-0.186,-20.625,1,2,8,R,Dοpi,179.9,87,0,0,0,0,0,0,0,0,0,0,0,0.263,-36.803,0.012,-18.051,-21.139,-46.56,-13.966,-60.781,18.675,-43.32,13.423,-64.329,36.831,-86.808,-2.403,-117.359,-43.393,-89.809,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24,1,0,3,1,0,2,0,0,0,1,255,255,11,5,1860.578,-라후이-,R,0,140,0.457,1.169,4,-21.791,-185.287,0,0,1,2,8,R,Dοpi,179.9,87,0,0,0,0,0,0,0,0,0,0,0,0.133,-36.8,0.302,-17.473,-20.726,-45.813,-13.788,-62.724,18.282,-41.092,13.637,-64.239,37.373,-86.974,-2.371,-117.338,-43.153,-87.561,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
25,1,0,3,1,0,0,1,0,0,1,255,255,11,6,2006.514,-라후이-,R,13,104,-1.341,-0.34,2,-369.138,312.348,0,0,1,3,6,R,Multeinn,174.6,88,2007.362,218,159,13,147,93,35.82,3.448,0.969,-0.137,-0.091,-0.222,-36.625,-0.18,-17.304,-23.07,-49.72,-12.984,-63.128,17.042,-43.025,11.483,-65.486,39.763,-84.42,-2.477,-116.071,-51.412,-86.198,2011.654,-4.848,-94.2,2012.243,7,HalF_HearteD,-5.028,-95.996,1,0,0,0,0,0,0,2
26,1,0,3,1,0,0,1,1,0,1,15,255,11,7,2042.761,-라후이-,R,0,140,-0.338,0.92,2,-18.98,-184.308,0,0,1,4,0,L,-Alta-,190,88,2043.628,161,106,0,132,93,48.726,-13.541,-0.307,0.023,-0.084,-0.041,-36.829,0,-17.398,-20.858,-44.203,-7.669,-60.288,19.209,-40.941,13.71,-64.113,39.942,-83.167,-1.464,-114.414,-39.968,-86.725,0,0,0,2048.609,5,Slaris,17.069,-79.433,0,0,0,0,0,0,0,1
27,1,0,3,1,0,0,2,1,0,1,15,255,11,8,2079.751,-라후이-,R,0,140,-0.785,1.368,2,-57.1,-186.92,0,0,1,5,3,L,あいくんだよー,174.8,88,2080.884,156,118,0,133,112,42.488,18.303,0.135,0.148,-0.165,-0.148,-36.744,0.016,-17.473,-20.986,-44.478,-6.132,-61.187,17.482,-42.12,13.65,-64.088,41.639,-81.69,0.323,-108.981,-40.67,-85.963,2085.576,-12.836,-107.771,2085.698,7,HalF_HearteD,-12.683,-105.583,0,0,0,0,0,0,0,1
28,2,1,3,1,0,0,0,0,0,0,255,255,255,18,2145.179,-Alta-,L,0,140,-6.987,1.754,1,-31.774,-80.21,-3.282,-7.171,0,6,2,R,소솨소솨,190,88,0,0,0,0,0,0,0,0,0,0,0,0.126,-37.32,-0.99,-15.961,-21.021,-45.65,-14.849,-61.39,19.565,-48.395,11.21,-65.994,40.98,-92.332,0.555,-111.669,-44.163,-80.196,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
29,2,1,3,1,1,0,0,0,0,0,255,255,255,19,2164.266,-Alta-,L,0,129,0.624,0.788,2,-84.016,-160.456,0,0,1,6,2,R,소솨소솨,190,88,2165.137,142,235,24,148,99,35.616,11.04,-0.405,-0.088,-0.223,0.388,-37.071,0.109,-16.958,-20.7,-44.899,-14.907,-61.29,18.925,-51.641,11.181,-65.845,38.872,-89.743,0.594,-111.749,-43.151,-78.976,2169.221,-15.426,-97.245,2177.454,7,IbikiKai_JP,-22.084,-133.185,1,0,0,0,0,0,0,2
30,2,1,3,1,0,0,0,0,1,0,255,2,255,20,2218.936,-Alta-,L,0,125,-0.505,1.272,1,40.046,0,0,0,0,7,9,R,bdg06213,190,88,0,0,0,0,0,0,0,0,0,0,0,0.168,-37,-0.16,-16.958,-21.041,-44.867,-10.12,-61.606,18.803,-47.075,6.147,-65.301,37.153,-90.79,-9.6,-116.763,-43.357,-82.529,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
31,2,1,3,1,1,0,0,0,1,0,255,2,255,21,2238.637,-Alta-,L,6,97,0.486,-0.619,2,-440.909,0,0,0,1,7,9,R,bdg06213,190,88,2239.774,171,224,19,148,113,35.157,-29.336,0.939,0.01,-0.06,0.444,-36.91,0.173,-16.596,-20.569,-45.063,-12.022,-60.62,17.955,-49.282,12.18,-65.436,37.374,-90.754,-10.27,-115.21,-43.758,-80.923,2243.865,28.316,-109.751,2248.221,7,IbikiKai_JP,22.508,-126.011,1,0,0,0,0,0,0,2
